top,lat,lon,humidity,temp,accel,dust
$data,50.841926,4.323445,27.30,26.70,0.00,160
$data,50.841926,4.323445,27.10,26.70,0.00,156
$data,50.841918,4.323431,27.10,26.70,0.00,160
$data,50.841926,4.323427,26.90,26.70,0.00,160
$data,50.841926,4.323423,26.90,26.70,0.00,151
$data,50.841911,4.323420,26.80,26.70,0.10,150
$data,50.841911,4.323423,26.80,26.70,0.00,167
$data,50.841911,4.323427,26.80,26.70,0.00,139
$data,50.841911,4.323430,26.80,26.70,0.00,154
$data,50.841911,4.323436,26.80,26.70,0.10,189
$data,50.841918,4.323448,26.80,26.70,0.00,139
$data,50.841918,4.323463,26.70,26.60,0.00,149
$data,50.841918,4.323466,26.70,26.60,0.00,148
$data,50.841918,4.323469,26.70,26.60,0.05,152
$data,50.841918,4.323470,26.70,26.60,0.00,132
$data,50.841918,4.323473,26.60,26.60,0.00,145
$data,50.841918,4.323475,26.60,26.60,0.00,132
$data,50.841918,4.323477,26.60,26.60,0.00,134
$data,50.841918,4.323485,26.60,26.60,0.00,149
$data,50.841918,4.323490,26.50,26.60,0.00,150
$data,50.841918,4.323493,26.50,26.60,0.00,165
$data,50.841911,4.323495,26.50,26.60,0.05,163
$data,50.841918,4.323490,26.40,26.60,0.05,160
$data,50.841918,4.323495,26.40,26.60,0.00,159
$data,50.841918,4.323496,26.30,26.60,0.00,174
$data,50.841926,4.323496,26.30,26.60,0.00,164
$data,50.841918,4.323503,26.30,26.60,0.20,118
$data,50.841911,4.323510,26.30,26.60,0.05,131
$data,50.841918,4.323510,26.30,26.60,0.00,179
$data,50.841918,4.323515,26.30,26.60,0.00,166
$data,50.841918,4.323538,26.40,26.60,0.10,206
$data,50.841934,4.323503,26.40,26.60,0.00,100
$data,50.841953,4.323431,26.30,26.60,0.05,181
$data,50.841976,4.323422,26.10,26.60,1.60,95
$data,50.841999,4.323393,26.10,26.60,0.20,153
$data,50.842006,4.323390,26.00,26.60,0.05,155
$data,50.842025,4.323395,26.00,26.60,0.05,113
$data,50.842025,4.323397,26.00,26.60,0.15,175
$data,50.842033,4.323395,26.00,26.60,0.00,138
$data,50.842041,4.323400,26.10,26.60,0.25,146
$data,50.842056,4.323398,26.10,26.60,0.05,119
$data,50.842075,4.323390,26.00,26.50,0.05,152
$data,50.842090,4.323377,26.00,26.50,0.00,158
$data,50.842121,4.323351,26.00,26.50,0.15,175
$data,50.842147,4.323318,26.00,26.50,0.00,142
$data,50.842170,4.323290,25.90,26.50,0.05,143
$data,50.842185,4.323264,25.90,26.50,0.00,181
$data,50.842212,4.323236,25.70,26.50,0.00,160
$data,50.842227,4.323215,25.70,26.50,0.00,127
$data,50.842269,4.323175,25.80,26.50,0.05,161
$data,50.842308,4.323133,25.60,26.40,0.10,152
$data,50.842342,4.323097,25.60,26.50,0.70,154
$data,50.842365,4.323055,25.60,26.50,0.10,160
$data,50.842391,4.323008,25.70,26.40,0.25,405
$data,50.842414,4.322963,25.70,26.40,0.00,139
$data,50.842441,4.322918,25.90,26.40,0.05,165
$data,50.842472,4.322880,25.90,26.40,0.00,201
$data,50.842494,4.322841,25.70,26.40,0.15,256
$data,50.842529,4.322810,25.70,26.40,0.00,145
$data,50.842552,4.322792,25.40,26.40,0.30,202
$data,50.842578,4.322790,25.40,26.40,0.05,197
$data,50.842594,4.322813,25.00,26.40,0.25,138
$data,50.842617,4.322848,25.00,26.40,0.00,146
$data,50.842643,4.322882,25.10,26.40,0.15,39
$data,50.842666,4.322910,25.10,26.40,0.55,177
$data,50.842708,4.322940,25.10,26.30,0.50,139
$data,50.842750,4.322980,25.10,26.30,0.05,139
$data,50.842788,4.323030,25.20,26.30,0.20,158
$data,50.842830,4.323085,25.20,26.30,0.25,166
$data,50.842872,4.323142,25.20,26.30,0.10,172
$data,50.842910,4.323198,25.20,26.30,0.05,126
$data,50.842960,4.323250,25.40,26.30,0.05,192
